show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,language,imdb_score,imdb_votes,total_watch_hours_millions,monthly_active_viewers_thousands,countries_available,seasons_or_episodes,avg_episode_duration_min,year_added,month_added,quarter_added,viewer_retention_score,combined_features,recommended_next_watch,retention_campaign_segment
s50,TV Show,Peaky Blinders,Steven Knight,"Cillian Murphy, Tom Hardy",UK,"July 28, 2015",2013,PG,6 Seasons,Crime,English,8.8,566165,13.42,353,179,72,38,2013,7,Q3,38.01699716713881,Crime TV Show English,Mindhunter|Narcos|Ozark S4,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s51,TV Show,Haunted,Shonda Rhimes,"Halle Berry, Patrick Wilson",India,"December 16, 2018",2017,TV-MA,1 Season,Reality TV,Hindi,5.5,433397,30.19,521,171,7,58,2017,12,Q4,57.94625719769674,Reality TV TV Show Hindi,Bling Empire|Marianne|The Gray Man,Tier 2: Steady (Send In-App Reminder & Recommendation)
s52,TV Show,The Politician,Denis Villeneuve,"Jamie Foxx, Taron Egerton",Germany,"August 01, 2019",2019,PG-13,2 Seasons,Crime,Korean,8.0,111743,71.29,1876,97,12,38,2019,8,Q3,38.001066098081026,Crime TV Show Korean,Your Place or Mine|American Vandal|Ozark,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s53,TV Show,Master of None,Greta Gerwig,"Ana de Armas, Chris Evans",Brazil,"May 15, 2024",2023,G,3 Seasons,Drama,Portuguese,8.2,339030,5.01,86,97,36,58,2023,5,Q2,58.25581395348837,Drama TV Show Portuguese,Altered Carbon|Guillermo del Toro's Pinocchio|The Crown,Tier 2: Steady (Send In-App Reminder & Recommendation)
s54,TV Show,Altered Carbon,Ryan Murphy,"Viola Davis, Michael B. Jordan",Germany,"June 24, 2019",2017,TV-MA,5 Seasons,Drama,Portuguese,7.5,82643,45.31,871,140,45,52,2017,6,Q2,52.020665901262916,Drama TV Show Portuguese,Altered Carbon|Guillermo del Toro's Pinocchio|The Crown,Tier 2: Steady (Send In-App Reminder & Recommendation)
s55,TV Show,Sense8,David Fincher,"Zendaya, Timothée Chalamet",South Korea,"March 27, 2017",2017,R,3 Seasons,Sci-Fi & Fantasy,Spanish,6.7,298540,77.8,1898,134,36,41,2017,3,Q1,40.99051633298209,Sci-Fi & Fantasy TV Show Spanish,Ragnarok|Suburra|Stranger Things,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s56,TV Show,Marco Polo,Ava DuVernay,"Idris Elba, Tilda Swinton",Spain,"April 30, 2018",2017,R,2 Seasons,Romance,Italian,8.3,458018,14.99,272,93,24,55,2017,4,Q2,55.11029411764706,Romance TV Show Italian,Bridgerton|Virgin River|Kingdom,Tier 2: Steady (Send In-App Reminder & Recommendation)
s57,TV Show,Daredevil,Spike Lee,"Cate Blanchett, Brad Pitt",South Korea,"November 23, 2019",2019,TV-PG,1 Season,Documentary,Portuguese,6.6,421990,4.06,97,88,12,42,2019,11,Q4,41.85567010309278,Documentary TV Show Portuguese,The Highwaymen|Tiger King|Making a Murderer,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s58,TV Show,Jessica Jones,Ryan Murphy,"Margot Robbie, Ryan Gosling",Italy,"February 18, 2018",2018,R,2 Seasons,Thriller,Italian,7.9,447321,23.01,548,167,16,42,2018,2,Q1,41.98905109489051,Thriller TV Show Italian,Dogs of Berlin|Athena|You,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s59,TV Show,Luke Cage,Alfonso Cuarón,"Idris Elba, Tilda Swinton",France,"February 26, 2020",2020,TV-MA,1 Season,Horror,Portuguese,8.0,169457,15.11,260,141,8,58,2020,2,Q1,58.11538461538461,Horror TV Show Portuguese,Triple Frontier|The Haunting of Hill House|Midnight Mass,Tier 2: Steady (Send In-App Reminder & Recommendation)
s60,TV Show,Iron Fist,David Fincher,"Mahershala Ali, Octavia Spencer",Sweden,"April 29, 2023",2023,G,4 Seasons,Thriller,Hindi,7.9,497968,16.02,276,80,40,58,2023,4,Q2,58.04347826086956,Thriller TV Show Hindi,Clickbait|You|Black Mirror,Tier 2: Steady (Send In-App Reminder & Recommendation)
s61,TV Show,Black Mirror,Jordan Peele,"Zendaya, Timothée Chalamet",France,"June 02, 2022",2020,R,1 Season,Crime,Hindi,6.6,219115,73.74,1229,113,11,60,2020,6,Q2,60.0,Crime TV Show Hindi,Ozark|Mindhunter|Narcos,Tier 2: Steady (Send In-App Reminder & Recommendation)
s62,TV Show,Locke & Key,Ava DuVernay,"Florence Pugh, Harry Styles",Spain,"August 29, 2022",2021,TV-MA,5 Seasons,Musical,German,6.9,442112,34.22,1006,30,35,34,2021,8,Q3,34.015904572564615,Musical TV Show German,Hellbound|The Crime of the Century|Money Heist,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s63,TV Show,Sweet Home,Greta Gerwig,"Zendaya, Timothée Chalamet",Denmark,"August 10, 2020",2019,TV-14,2 Seasons,Documentary,Korean,7.3,421145,46.82,1089,73,24,43,2019,8,Q3,42.99357208448117,Documentary TV Show Korean,Tiger King|Making a Murderer|Daredevil,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s64,TV Show,All of Us Are Dead,Ryan Murphy,"Cate Blanchett, Brad Pitt",India,"August 04, 2017",2016,PG,5 Seasons,Sci-Fi & Fantasy,French,5.6,133368,49.92,979,151,55,51,2016,8,Q3,50.99080694586313,Sci-Fi & Fantasy TV Show French,Project Power|Stranger Things|The Witcher,Tier 2: Steady (Send In-App Reminder & Recommendation)
s65,TV Show,The Rain,Denis Villeneuve,"Mahershala Ali, Octavia Spencer",Mexico,"July 21, 2018",2016,TV-14,4 Seasons,Horror,Korean,6.0,365512,46.48,801,31,44,58,2016,7,Q3,58.02746566791511,Horror TV Show Korean,The Haunting of Hill House|Midnight Mass|Archive 81,Tier 2: Steady (Send In-App Reminder & Recommendation)
s66,TV Show,Ragnarok,Sofia Coppola,"Halle Berry, Patrick Wilson",UK,"May 20, 2018",2016,TV-MA,2 Seasons,Sci-Fi & Fantasy,Spanish,7.1,425173,76.68,2191,148,24,35,2016,5,Q2,34.99771793701506,Sci-Fi & Fantasy TV Show Spanish,Ragnarok|Suburra|Stranger Things,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s67,TV Show,Elite,Jordan Peele,"Mahershala Ali, Octavia Spencer",Sweden,"July 26, 2024",2023,TV-PG,5 Seasons,Thriller,Japanese,8.6,394889,71.42,1786,151,60,40,2023,7,Q3,39.98880179171333,Thriller TV Show Japanese,Moving Art|You|Abstract,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s68,TV Show,Cable Girls,Sofia Coppola,"Halle Berry, Patrick Wilson",Japan,"June 15, 2023",2022,PG-13,2 Seasons,Documentary,Spanish,8.0,127942,22.91,409,99,22,56,2022,6,Q2,56.01466992665037,Documentary TV Show Spanish,Conversations with a Killer|Tiger King|Making a Murderer,Tier 2: Steady (Send In-App Reminder & Recommendation)
s69,TV Show,Suburra,Ava DuVernay,"Mahershala Ali, Octavia Spencer",Germany,"October 16, 2021",2020,R,5 Seasons,Sci-Fi & Fantasy,Spanish,7.0,178477,12.92,404,168,35,32,2020,10,Q4,31.980198019801982,Sci-Fi & Fantasy TV Show Spanish,Ragnarok|Suburra|Stranger Things,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s70,TV Show,Babylon Berlin,Jordan Peele,"Mahershala Ali, Octavia Spencer",USA,"May 01, 2024",2022,TV-PG,1 Season,Musical,Italian,7.2,499268,34.19,950,120,12,36,2022,5,Q2,35.98947368421052,Musical TV Show Italian,"Hellbound|Tick, Tick... Boom!|Locke & Key",Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s71,TV Show,Kingdom,Jordan Peele,"Cate Blanchett, Brad Pitt",Norway,"March 09, 2021",2019,PG,4 Seasons,Crime,Italian,7.2,208873,59.04,1256,116,44,47,2019,3,Q1,47.00636942675159,Crime TV Show Italian,Ozark|Mindhunter|Narcos,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s72,TV Show,Hellbound,Sofia Coppola,"Idris Elba, Tilda Swinton",Mexico,"December 05, 2021",2021,TV-MA,4 Seasons,Musical,English,5.8,229716,78.48,1330,64,28,59,2021,12,Q4,59.00751879699248,Musical TV Show English,"Tick, Tick... Boom!|Babylon Berlin|Locke & Key",Tier 2: Steady (Send In-App Reminder & Recommendation)
s73,TV Show,The Guilty,Spike Lee,"Zendaya, Timothée Chalamet",Australia,"January 08, 2023",2022,TV-PG,1 Season,Horror,German,8.1,441167,26.86,707,137,9,38,2022,1,Q1,37.99151343705799,Horror TV Show German,The Haunting of Hill House|Midnight Mass|Archive 81,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s74,TV Show,Marianne,Jane Campion,"Cate Blanchett, Brad Pitt",Canada,"June 17, 2019",2019,TV-PG,4 Seasons,Reality TV,English,8.1,134647,43.61,1454,81,44,30,2019,6,Q2,29.99312242090784,Reality TV TV Show English,Marianne|The Gray Man|Bardo,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s75,TV Show,The Defeated,Jordan Peele,"Cate Blanchett, Brad Pitt",Denmark,"November 09, 2015",2015,R,2 Seasons,Crime,Portuguese,6.1,323372,53.89,1585,59,18,34,2015,11,Q4,34.0,Crime TV Show Portuguese,Safe|Ozark|Mindhunter,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s76,TV Show,Deadwind,Jordan Peele,"Florence Pugh, Harry Styles",Mexico,"September 30, 2018",2017,TV-14,1 Season,Animation,Korean,5.8,367080,74.38,1550,190,6,48,2017,9,Q3,47.987096774193546,Animation TV Show Korean,White Noise|Ghosted|Explained,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
s77,TV Show,Dogs of Berlin,Ryan Murphy,"Lupita Nyong'o, Daniel Kaluuya",UK,"July 28, 2018",2018,PG-13,3 Seasons,Thriller,Italian,7.8,41153,48.43,850,159,33,57,2018,7,Q3,56.976470588235294,Thriller TV Show Italian,Dogs of Berlin|Athena|You,Tier 2: Steady (Send In-App Reminder & Recommendation)
s78,TV Show,Bordertown,Jane Campion,"Florence Pugh, Harry Styles",Denmark,"January 26, 2020",2020,R,4 Seasons,Action & Adventure,Italian,6.1,278545,9.34,167,99,36,56,2020,1,Q1,55.92814371257485,Action & Adventure TV Show Italian,Our Planet|How to Become a Tyrant|Outer Banks,Tier 2: Steady (Send In-App Reminder & Recommendation)
s79,TV Show,Glitch,Alfonso Cuarón,"Zendaya, Timothée Chalamet",Japan,"May 10, 2024",2023,TV-PG,4 Seasons,Comedy,German,8.6,132854,58.75,1366,148,48,43,2023,5,Q2,43.00878477306003,Comedy TV Show German,Emily in Paris|Never Have I Ever|Wednesday,Tier 1: At-Risk (Send Loyalty Discount / 20% Off)
